instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p2000-2000-12,Test Bed A,2000x2000,684919.86956,Best Known (Limit Exceeded),False,0.000159,684920.95742,0.000159,684920.95742,0.0,684919.869562
p2000-2000-13,Test Bed A,2000x2000,648821.96878,Proven Optimal,True,0.000305,648823.94554,0.002088,648835.517585,-0.0,648821.968775
p2000-2000-14,Test Bed A,2000x2000,661298.62236,Proven Optimal,True,0.0,661298.62236,0.0,661298.62236,0.0,661298.62236
p2000-2000-15,Test Bed A,2000x2000,699290.01601,Proven Optimal,True,0.000398,699292.799861,0.000398,699292.799861,0.0,699290.016012
p2000-2000-16,Test Bed A,2000x2000,183580.50872,Proven Optimal,True,0.00055,183581.518867,0.00055,183581.518867,-0.0,183580.508718
p2000-2000-17,Test Bed A,2000x2000,192332.35807,Proven Optimal,True,-0.0,192332.358067,-0.0,192332.358067,-0.0,192332.358067
p2000-2000-18,Test Bed A,2000x2000,181451.61687,Proven Optimal,True,0.00662,181463.628561,0.002255,181455.709192,0.0,181451.616871
p2000-2000-19,Test Bed A,2000x2000,185587.06511,Proven Optimal,True,0.0,185587.065113,0.0,185587.065113,0.0,185587.065113
p2000-2000-20,Test Bed A,2000x2000,177992.43989,Proven Optimal,True,0.00363,177998.900925,0.002608,177997.081532,0.000718,177993.718632
p2000-2000-21,Test Bed A,2000x2000,93236.56796,Proven Optimal,True,0.006588,93242.71082,0.000986,93237.487086,-0.0,93236.567817
p2000-2000-22,Test Bed A,2000x2000,94302.29782,Proven Optimal,True,0.00794,94309.785701,0.00017,94302.458043,-0.0,94302.297817
p2000-2000-23,Test Bed A,2000x2000,95904.06311,Best Known (Limit Exceeded),False,0.033833,95936.510307,0.004207,95908.097689,-0.0,95904.063108
p2000-2000-24,Test Bed A,2000x2000,96221.1907,Proven Optimal,True,0.013561,96234.239551,0.003467,96224.526759,-0.0,96221.190698
p2000-2000-25,Test Bed A,2000x2000,94113.42537,Proven Optimal,True,0.008819,94121.725675,0.008819,94121.725675,0.0,94113.425373
p2000-2000-26,Test Bed A,2000x2000,47491.43685,Best Known (Limit Exceeded),False,0.0,47491.436853,0.0,47491.436853,0.0,47491.436853
p2000-2000-27,Test Bed A,2000x2000,48177.94688,Best Known (Limit Exceeded),False,0.047046,48200.612838,0.00125,48178.54932,-0.004915,48175.578755
p2000-2000-28,Test Bed A,2000x2000,47687.62023,Best Known (Limit Exceeded),False,0.023718,47698.930663,0.023718,47698.930663,0.0,47687.620235
p2000-2000-29,Test Bed A,2000x2000,47036.66432,Best Known (Limit Exceeded),False,-0.0,47036.664319,0.007766,47040.317325,-0.002108,47035.672852
p2000-2000-30,Test Bed A,2000x2000,48982.83142,Best Known (Limit Exceeded),False,-0.00833,48978.750927,-0.001619,48982.038326,-0.021535,48972.282891
p800-4400-31,Test Bed B,800x4400,984740.91487,Proven Optimal,True,,,,,,
p800-4400-32,Test Bed B,800x4400,1009311.8514,Proven Optimal,True,,,,,,
p800-4400-33,Test Bed B,800x4400,1013373.3094,Proven Optimal,True,,,,,,
p800-4400-34,Test Bed B,800x4400,1006226.90752,Proven Optimal,True,,,,,,
p800-4400-35,Test Bed B,800x4400,1018799.28271,Proven Optimal,True,,,,,,
p800-4400-36,Test Bed B,800x4400,714878.26898,Best Known (Limit Exceeded),False,,,,,,
p800-4400-37,Test Bed B,800x4400,674884.44383,Best Known (Limit Exceeded),False,,,,,,
p800-4400-38,Test Bed B,800x4400,676820.62173,Best Known (Limit Exceeded),False,,,,,,
p800-4400-39,Test Bed B,800x4400,692047.07498,Best Known (Limit Exceeded),False,,,,,,
p800-4400-40,Test Bed B,800x4400,663528.65086,Best Known (Limit Exceeded),False,,,,,,
p800-4400-41,Test Bed B,800x4400,537104.66036,Best Known (Limit Exceeded),False,,,,,,
p800-4400-42,Test Bed B,800x4400,534142.99291,Best Known (Limit Exceeded),False,,,,,,
p800-4400-43,Test Bed B,800x4400,534679.22113,Best Known (Limit Exceeded),False,,,,,,
p800-4400-44,Test Bed B,800x4400,531860.49047,Best Known (Limit Exceeded),False,,,,,,
p800-4400-45,Test Bed B,800x4400,541111.17749,Best Known (Limit Exceeded),False,,,,,,
p800-4400-46,Test Bed B,800x4400,344911.71369,Best Known (Limit Exceeded),False,,,,,,
p800-4400-47,Test Bed B,800x4400,336140.19456,Best Known (Limit Exceeded),False,,,,,,
p800-4400-48,Test Bed B,800x4400,328283.34951,Best Known (Limit Exceeded),False,,,,,,
p800-4400-49,Test Bed B,800x4400,332542.54142,Best Known (Limit Exceeded),False,,,,,,
p800-4400-50,Test Bed B,800x4400,340213.95911,Best Known (Limit Exceeded),False,,,,,,
p800-4400-51,Test Bed B,800x4400,313506.22886,Best Known (Limit Exceeded),False,,,,,,
p800-4400-52,Test Bed B,800x4400,318863.56689,Best Known (Limit Exceeded),False,,,,,,
p800-4400-53,Test Bed B,800x4400,320365.71895,Best Known (Limit Exceeded),False,,,,,,
p800-4400-54,Test Bed B,800x4400,321323.72449,Best Known (Limit Exceeded),False,,,,,,
p800-4400-55,Test Bed B,800x4400,312818.57939,Best Known (Limit Exceeded),False,,,,,,
p1000-1000-31,Test Bed B,1000x1000,1009052.22635,Proven Optimal,True,,,,,,
p1000-1000-32,Test Bed B,1000x1000,960222.78861,Proven Optimal,True,,,,,,
